species,decimalLongitude,decimalLatitude
Lithobates catesbeianus,-76.694572,37.642933
Lithobates catesbeianus,-75.039153,40.255916
Lithobates catesbeianus,-80.410664,40.817378
Lithobates catesbeianus,-87.855545,41.098129
Lithobates catesbeianus,-117.021101,33.074564
Lithobates catesbeianus,-81.247255,35.78014
Lithobates catesbeianus,-95.572026,29.983699
Lithobates catesbeianus,-77.482428,43.046731
Lithobates catesbeianus,-95.806889,38.377126
Lithobates catesbeianus,-78.446938,36.068104
Lithobates catesbeianus,-75.149808,40.125043
Lithobates catesbeianus,-122.624016,49.319389
Lithobates catesbeianus,-75.080154,38.720386
Lithobates catesbeianus,-121.806507,37.337171
Lithobates catesbeianus,-111.671142,33.539625
Lithobates catesbeianus,-65.783645,18.392355
Lithobates catesbeianus,-110.853828,31.497474
Lithobates catesbeianus,-121.780755,39.310747
Lithobates catesbeianus,-80.681898,32.896344
Lithobates catesbeianus,-123.796805,48.778908
Lithobates catesbeianus,-83.807882,42.256015
Lithobates catesbeianus,-91.333622,30.483817
Lithobates catesbeianus,-86.708492,38.993376
Lithobates catesbeianus,-81.67755,36.211608
Lithobates catesbeianus,-81.261995,41.1179
Lithobates catesbeianus,-110.956213,31.390526
Lithobates catesbeianus,-70.032416,41.746255
Lithobates catesbeianus,-75.763527,39.728707
Lithobates catesbeianus,-90.063767,32.470395
Lithobates catesbeianus,-77.974038,34.025786
Lithobates catesbeianus,-79.377673,40.51728
Lithobates catesbeianus,-122.796325,45.576479
Lithobates catesbeianus,-94.664786,38.619302
Lithobates catesbeianus,-84.261241,30.48006
Lithobates catesbeianus,-96.567541,32.467963
Lithobates catesbeianus,-68.328155,44.400917
Lithobates catesbeianus,-84.64488,40.097681
Lithobates catesbeianus,-88.076089,30.248613
Lithobates catesbeianus,-83.841571,34.447121
Lithobates catesbeianus,-79.093153,35.72155
Lithobates catesbeianus,-74.750746,39.809679
Lithobates catesbeianus,-123.264567,44.069163
Lithobates catesbeianus,-78.632713,34.460332
Lithobates catesbeianus,-97.163801,32.930853
Lithobates catesbeianus,-85.113292,39.237314
Lithobates catesbeianus,-121.7284,39.805195
Lithobates catesbeianus,-94.818159,38.95776
Lithobates catesbeianus,-84.443055,33.886392
Lithobates catesbeianus,-70.678043,41.859022
Lithobates catesbeianus,-79.042705,35.951861
Lithobates catesbeianus,-97.928216,38.029949
Lithobates catesbeianus,-122.698755,38.573817
Lithobates catesbeianus,-80.468118,35.494892
Lithobates catesbeianus,-72.516483,46.33515
Lithobates catesbeianus,-97.089522,30.032989
Lithobates catesbeianus,-82.333097,28.036713
Lithobates catesbeianus,-96.571231,29.081675
Lithobates catesbeianus,-69.45341,43.802052
Lithobates catesbeianus,-81.184137,28.726477
Lithobates catesbeianus,-80.006356,40.118831
Lithobates catesbeianus,-116.901905,33.339997
Lithobates catesbeianus,-79.35598,39.442921
Lithobates catesbeianus,-96.862107,35.366176
Lithobates catesbeianus,-82.400305,28.096233
Lithobates catesbeianus,-79.96937,33.243863
Lithobates catesbeianus,-80.364412,43.306388
Lithobates catesbeianus,-86.35186,35.846912
Lithobates catesbeianus,-98.22226,31.058887
Lithobates catesbeianus,-117.223292,33.751214
Lithobates catesbeianus,-122.206692,37.859047
Lithobates catesbeianus,-80.139301,37.150822
Lithobates catesbeianus,-83.07797,42.265788
Lithobates catesbeianus,-118.7287,34.097564
Lithobates catesbeianus,-122.369972,48.731708
Lithobates catesbeianus,-93.699315,32.484077
Lithobates catesbeianus,-96.825041,33.124894
Lithobates catesbeianus,-99.264903,29.998261
Lithobates catesbeianus,-84.33245,34.162086
Lithobates catesbeianus,-122.483878,38.299412
Lithobates catesbeianus,-80.384727,36.958901
Lithobates catesbeianus,-71.337872,42.25596
Lithobates catesbeianus,-69.38572,44.447575
Lithobates catesbeianus,-72.277633,42.900917
Lithobates catesbeianus,-123.115501,45.455211
Lithobates catesbeianus,-77.512493,37.544057
Lithobates catesbeianus,-121.408946,37.408926
Lithobates catesbeianus,-80.018339,35.094507
Lithobates catesbeianus,-83.304222,30.286603
Lithobates catesbeianus,-84.225369,39.654403
Lithobates catesbeianus,-74.777541,39.878283
Lithobates catesbeianus,-83.554829,33.77098
Lithobates catesbeianus,-117.74858,33.638813
Lithobates catesbeianus,-97.172155,30.095008
Lithobates catesbeianus,-123.243346,44.360183
Lithobates catesbeianus,-121.622345,37.562618
Lithobates catesbeianus,-123.637928,40.953322
Lithobates catesbeianus,-86.577482,39.278827
